"name","research_field1","research_field2","research_field3","research_field4","research_field5","research_field6"
"Kramer, Lisa","Financial economics","","","Behavioral Finance","Experimental Economics",""
"Kroft, Kory","Labour economics","Public economics","Applied econometrics","","",""
"Kruger, Arthur","","","","","",""
"Kuruscu, Burhanettin","Macroeconomics","Labour economics","Public economics","","",""
"Laporte, Audrey","","","","","",""
"Leslie, Deborah","","","","","",""
"Levine, Renan","","","","","",""
"Lewis, Robert","","","","","",""
"Li, Hao","","","","","",""
"Li, Hongbin","","","","","",""
"Li, Hung-Yi","","","","","",""
"Li, Nicholas","Economic development","International economics","","","",""
"Li, Rong","","","","","",""
"Lim, Kevin","International economics","","","","",""
"Lima, Lucas","","","","","",""
"Lines, Jeffrey","","","","","",""
"Liu, Annie","","","","","",""
"Lu, Runjing","Financial economics","Labour economics","","","",""
"Luo, Hong","","","","","",""
"Luo, Yao","Industrial organization","Applied econometrics","","","",""
"Lyng, Ran Sun","Applied econometrics","Financial economics","Labour economics","","",""
"Maheu, John","","","","","",""
"Mahone, Zachary","Macroeconomics","Labour economics","","","",""
"Malinova, Ekaterina","Financial economics","Microeconomic theory","","","",""
"Masson, Paul R.","International economics","Macroeconomics","","","",""
"Mathewson, Frank","Microeconomic theory","Industrial organization","","","",""
"Maynard, Alex","Econometrics","Applied econometrics","","","",""
"McCaig, Brian","","","","","",""
"McCann, Robert","Microeconomic theory","","","Optimal transport","",""
"McCurdy, Tom","Financial economics","","","Financial Econometrics","Risk Management","Financial Decision Strategies"
"McGee, Dan","Behavioral Economics","Microeconomic theory","Political economy","Economic History","",""
"McKeown, Robert","Financial economics","","","","",""
"McMillan, Robert","Public economics","","","Economics of education","",""
"Medina Quispe, Pamela","Applied econometrics","","","","",""
"Melino, Angelo","Econometrics","Macroeconomics","Financial economics","","",""
"Mondria, Jordi","Financial economics","International economics","Macroeconomics","","",""
"Moorthy, Sridhar","","","","","",""
"Morrow, Peter","International economics","","","","",""
"Mourifié, Ismael","Econometrics","Applied econometrics","","","",""
"Murdock, Jennifer","Industrial organization","Environmental economics","","","",""
"Neill, Christine","","","","","",""
"Nevitte, Neil","","","","","",""
"Nunn, Nathan","","","","","",""
"O'Gorman, Melanie","","","","","",""
"Oreopoulos, Philip","Labour economics","Applied econometrics","","Economics of education","",""
"Osborne, Martin J.","Microeconomic theory","Political economy","","","",""
"Ostry, Jonathan D.","","","","","",""
"Owen, Robert","International economics","Industrial organization","","","",""
"Ozkan, Serdar","","","","","",""
"Paul, Tyler","Macroeconomics","","","","",""
"Pauly, Louis W.","","","","","",""
"Pęski, Marcin","Microeconomic theory","","","","",""
"Pitchik, Carolyn","Microeconomic theory","Industrial organization","","","",""
"Price, David","Labour economics","Public economics","Econometrics","","",""
"Putnam, Jonathan","Industrial organization","","","Economics of technology","Intellectual property",""
"Raiha, Davin","","","","","",""
"Ramoutar, Fern","Urban economics","Industrial organization","","Optimal transport","",""
"Rea, Ken J.","Economic development","","","","",""
"Reid, Frank J.","Labour economics","","","","",""
"Rempel, Mark","Macroeconomics","Financial economics","Industrial organization","","",""
"Restuccia, Diego","Macroeconomics","Economic development","","","",""
"Ritto, Joao","Macroeconomics","","","","",""
"Rizk, Nagla","","","","","",""
"Roesler, Anne-Katrin","Microeconomic theory","","","","",""
"Rosell, Carlos","","","","","",""
"Rosenthal, Alan","","","","","",""
"Rossouw, Charl","","","","","",""
"Rotenberg, Wendy","","","","","",""
"Rotstein, Abraham","","","","","",""
"Salardi, Paola","","","","","",""
"Semken, Christoph","Environmental economics","Behavioral Economics","Applied econometrics","","",""
"Serafinelli, Michel","","","","","",""
"Shah, Nisarg","","","","","",""
"Shang, Ce","","","","","",""
"Sharapudinov, Shamil","International economics","Macroeconomics","","Spatial Economics","",""
"Sherman, Sari","","","","","",""
"Shestopalov, Aleks","","","","","",""
"Shi, Shouyong","","","","","",""
"Shi, Xianwen","Microeconomic theory","Industrial organization","","","",""
"Sillamaa, Mary-Anne","","","","","",""
"Siow, Aloysius","Labour economics","","","Economics of the family","",""
"Smart, Michael","Public economics","","","","",""
"Smith, Lawrence B.","Macroeconomics","","","Real estate","Land and housing economics",""
